WARD,PRECINCT,REGISTERED VOTERS,BALLOTS CAST,JA'MAL GREEN,SOPHIA KING,KAM BUCKNER,WILLIE L. WILSON,BRANDON JOHNSON,PAUL VALLAS,LORI E. LIGHTFOOT,RODERICK T. SAWYER,"JESUS ""CHUY"" GARCIA",KEITH M. JUDGE (WRITE-IN),STEPHEN HODGE (WRITE-IN),RYAN FRIEDMAN (WRITE-IN),STEPHANIE ANN MUSTARI (WRITE-IN),BRIDGETT PALMER (WRITE-IN),JOHNNY LOGALBO (WRITE-IN),DANIEL LA SPATA,"STEPHEN ""ANDY"" SCHNEIDER","PROCO ""JOE"" MORENO",SAM ROYKO,NICOLE LEE,CLEOPATRA DRAPER,YESSENIA CARREON,EDWARD WARD,LAMONT ROBINSON,PATRICK NAGLE,"JACQUELINE ""JACKIE"" BAEZ",RAYMOND A. LOPEZ,BRUCE RANDAZZO,"KIMBERLY I ""KIM"" EGONMWAN",MARIANNE LALONDE,COREY DOOLEY,KRIS LEVY,O. PATRICK BRUTUS,DAVID HERRERA,NATHAN BEAN (WRITE-IN),JOE DUNNE,STEPHANIE D. COLEMAN,BRIAN J. HAAG,JESSICA W. GUTIERREZ,"SAMANTHA ""SAM"" NUGENT",ANABEL ABARCA,ROBERT PALMER,JESSICA A. VENEGAS,KIRK J. ORTIZ (WRITE-IN),"LEONOR ""LORI"" TORRES WHITT",OSCAR SANCHEZ,VETRESS M. BOYCE,HELEN WEST,STEVE BOTSFORD,DERRICK G. CURTIS,PAUL STRUEBING,NEFTALIE GONZALEZ,RICHARD A WOOTEN,SONYA DORSEY (WRITE-IN),MICHAEL D. RODRIGUEZ,DAVID H. MOORE,PAT GIBBONS (WRITE-IN),CARLOS RAMIREZ-ROSA,MATTHEW J. O'SHEA,AJA KEARNEY,ANTHONY A. BEALE,"ANTHONY ""TONY"" BLAIR (WRITE-IN)",PAUL BRUTON,RONNIE L. MOSLEY,DALIAH GOREE,WENDI TAYLOR NATIONS,WILLIAMTON (WILLIE) DAVIS (WRITE-IN),CAMERON M. BARNES,MARLENE FISHER,LARRY SVABEK,HEATHER WILLS,KIM WALZ,LAITH SHAABAN,LENI MANAA-HOPPENWORTH,MARTINA 'TINA' HONE,FELIX CARDONA JR.,EMMA M. MITTS,ANDREW A. CLEAVER (WRITE-IN),"JAMES ""JIM"" GARDINER",ANDRE VASQUEZ,ANGELA CLAY,DON DAVIS (WRITE-IN),GLORIA ANN WILLIAMS,BILL CONWAY,WILLIAM E. HALL,JULIA M. RAMIREZ,JASMINE ROBERSON (WRITE-IN),"FROYLAN ""FROY"" JIMENEZ",LARRY LLOYD,SAMIE MARTINEZ,MARIJA TOMIC,DESMON C. YANCY,CHRIS TALIAFERRO,RUTH CRUZ,GREGORY I. MITCHELL,EBONY LUCAS,ROUSHAUNDA WILLIAMS,RAUL REYES,LARRY G. NELSON,MARTY QUINN,"WALTER BURNETT, JR.",DEBRA SILVERSTEIN,ANDY PETERS,"PAUL C. BRYSON, SR.",COREY DENELLE BRADDOCK,NICHOLAS SPOSATO,ED BANNON,JAKE TOWERS,CAROLYNN DENISE CRUMP,ANA GUAJARDO,"JESSICA ""JESSIE"" FUENTES",CREATIVE SCOTT,PAT DOWELL,BARBARA ANN BUNVILLE,"TIMOTHY ""TIM"" NOONAN",ANDRE PELOQUIN,BRENDAN REILLY,EDDIE JOHNSON III,WARREN WILLIAMS,JOCELYN HARE,SHARON E. PINCHAM,BELIA RODRIGUEZ,JUANPABLO PRIETO,TRACEY Y. BEY,AMBRIA TAYLOR,MICHAEL CORTEZ,PRESTON BROWN JR.,"WILLIAM ""BILL"" MORTON",WILLIAM CALLOWAY (WRITE-IN),"MATTHEW ""KHARI"" HUMPHRIES",ANA SANTOYO,MICHAEL T. CUMMINGS,EDDIE GUILLEN,"VICTORIA ""VICKO"" ALVAREZ",PRENTICE C. BUTLER,SEAN M. FLYNN,STEVEN MCCLELLAN,ROXANNE VOLKMANN,BRIAN HOPKINS,SUSANNA ERNST,JANE LUCIUS,TAVARES BRIGGS,ANTHONY V. NAPOLITANO,JULIAN PEREZ,KWELI KWAZA,CYNTHIA M. SANTOS,"SYLVESTER E BAKER, JR",MICHELLE A. HARRIS,"ELVIRA ""VIDA"" JIMENEZ",NASSIR FAULKNER,LINDA HUDSON,ESTEBAN BURGOA ONTANON,TIMMY KNUDSEN,GABRIEL PIEMONTE,CB JOHNSON,"ANTHONY ""TONY"" CIARAVINO",DREWONE GOLDSMITH,JIM ASCOT,BYRON SIGCHO LOPEZ,"WALLACE E. GOODE, JR.",LUTHER WOODRUFF JR.,NICK WARD,TRACI TREASURE JOHNSON,"GILBERT ""GIL"" VILLEGAS",MEGAN MATHIAS,ROSSANA RODRIGUEZ SANCHEZ,WALTER ADAMCZYK (WRITE-IN),BRIAN C. COMER,REBECCA JANOWITZ,DENALI DASGUPTA,PETER CHICO,AYANA CLARK,SHAWN A. WALKER,MONIQUE L. SCOTT,JASON C. ERVIN,JEYLU B. GUTIERREZ,DON DON,CORNELL DANTZLER,JAMES SUH,ANDRE SMITH,JOSHUA GRAY,STEVE DEMITRO,MATT MARTIN,AIDA FLORES,JEANETTE B TAYLOR,LISA ANN BROWN NEWMAN (WRITE-IN),"DIALIKA ""DEE"" PERKINS",RENITA Q. WARD,ANGEE GONZALEZ RODRIGUEZ,BENNETT R. LAWSON,ISAAC FREILICH JONES,SCOTT WAGUESPACK,CHRISTIAN BLUME,KRISTIAN R. ARMENDARIZ,KIRBY BIRGANS,MUEZE BAWANY,METIN OKIC (WRITE-IN),PATRICIA LYNN TILLMAN (WRITE-IN),MARIA HADDEN,FRANCO REYES,JUSTIN SAWYER (WRITE-IN),JENNIFER O. MADDOX,SILVANA TABARES,HOWARD RAY
13,13,658,301,2,0,1,27,10,198,9,0,54,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,707,323,3,0,2,33,18,181,12,0,74,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,677,308,3,0,1,31,9,174,5,1,83,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,882,336,2,1,2,35,43,141,17,0,95,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,1135,369,2,2,0,19,34,136,12,1,155,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,715,260,2,1,3,20,16,93,20,0,102,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,542,243,3,0,0,30,16,140,6,1,45,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,820,372,3,3,2,24,24,252,8,0,56,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,700,300,7,0,4,26,9,179,15,0,59,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22,1031,385,6,2,0,26,35,160,11,1,141,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23,813,429,2,0,0,27,22,336,8,1,32,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,24,798,304,4,0,1,26,12,163,14,0,81,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25,829,300,5,4,1,22,26,107,13,0,120,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26,729,234,2,1,0,16,21,91,6,0,97,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,687,224,2,0,1,16,14,66,9,1,115,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28,763,248,2,0,1,13,26,83,6,1,116,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,29,715,217,2,0,1,18,27,86,8,1,74,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30,776,403,3,1,3,31,24,271,12,0,58,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,31,639,259,1,2,3,18,10,173,8,0,43,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,32,567,277,2,3,3,28,14,156,8,0,61,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,33,685,316,2,3,1,23,22,167,12,0,86,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,34,826,409,0,4,0,33,24,260,16,2,67,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
