PRECINCT,SHAPE_Area,SHAPE_Leng,WARD,DATA_ADMIN,WARD_PRECI,PERIMETER,OBJECTID,TIMOTHY M. CULLERTON,TOM CARAVETTE,BERNARD L. STONE,SHARON DENISE DIXON,DANIEL 'DANNY' SOLIS,LATASHA R. THOMAS,CHE 'RHYMEFEST' SMITH,MAURITA E. GAVIN,MICHELE SMITH,RAYMOND A. LOPEZ,JAMES CAPPLEMAN,HAL E. BASKIN,TIM EGAN,TONI L. FOULKES,MARY O'CONNOR,MARY ANNE 'MOLLY' PHELAN,CUAHUTEMOC MORFIN,JOHN ARENA,WILLIE B. COCHRAN,NICHOLAS SPOSATO,JOHN GARRIDO,DEBRA L. SILVERSTEIN,MICHAEL D. CHANDLER,BALLOTS CAST,REGISTERED VOTERS,DAVID H. MOORE,FREDDRENNA M. LYLE,RODERICK T. SAWYER,JOHN A. RICE,JOANN THOMPSON
53,887997.457645,5658.23824733,9,28344525.2751,09053,40220.0831216,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2180675.23623,7270.58072635,19,7027463.0918,19004,13519.5362834,5345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1523302.32707,5774.73803222,1,1918292.88891,01005,6192.18789238,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,850719.379571,3845.49745615,1,1285527.02527,01037,5166.33396935,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4045961.65828,9629.3475192,32,4041710.00353,32051,9654.09676197,2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4450733.20446,11040.498919,1,5040372.66337,01039,12026.2788927,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1218860.76904,6127.1951563,43,1049986.35229,43009,4502.06406077,2776,,,,,,,,,60,,,,90,,,,,,,,,,,150,605,,,,,
28,2058173.07764,5882.20633536,32,2058179.12111,32028,5882.20617337,2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1310773.32565,5595.85362865,1,1751867.33889,01002,6260.3513708,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,427502.429578,3223.46781129,27,671947.931897,27016,3610.17894152,2779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2237793.82125,8591.55188263,44,2237793.62523,44018,8591.52791533,2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1013187.21899,6711.82396244,46,1000190.66316,46005,5844.27556729,2782,,,,,,,,,,,62,,,,,53,,,,,,,,115,580,,,,,
9,5626992.13533,14540.0902961,12,5626992.12259,12009,14540.0903233,2845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,946851.395974,4880.31091928,4,946851.359523,04044,4880.31110896,2846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2838882.05351,7172.25223331,4,2839001.21167,04047,7173.71000037,2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,806016.000563,4269.22317968,5,805837.83452,05048,4269.24600593,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1891603.40417,5816.01016053,4,1776787.05022,04038,5670.91531774,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2241228.2759,9082.12071921,5,2200169.56338,05046,8976.5420976,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2864487.6233,8331.07758634,38,2864487.63896,38010,8331.07760982,2851,96,73,,,,,,,,,,,,,,,,,,,,,,169,606,,,,,
1,1465371.34474,5764.00057279,30,1465371.35475,30001,5764.00049406,2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2474414.2531,7031.42310238,30,2474418.10738,30015,7031.44242399,2853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2125929.10804,8668.23913594,47,2125929.27738,47016,8668.23921191,2854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1707386.16666,6299.05665192,39,1707386.55113,39023,6299.09592335,2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3164120.65165,7434.97316896,33,3164120.52276,33023,7434.97299266,2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3149325.37403,7440.52281744,33,3149325.2127,33025,7440.52288086,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2511802.8768,7458.57056472,24,2511802.83293,24029,7458.57048146,2858,,,,53,,,,,,,,,,,,,,,,,,,63,116,701,,,,,
7,1342644.56152,6706.49754793,24,1342644.51767,24007,6706.49746095,2859,,,,49,,,,,,,,,,,,,,,,,,,26,75,484,,,,,
40,1790571.09187,5364.95505346,28,586538.945531,28040,3572.46700493,2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,650898.598964,4150.26660875,49,395680.721782,49002,3380.04897868,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1409307.29909,5378.02630011,32,1409307.3076,32016,5378.02632184,2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1714412.09066,8068.28309714,48,1713844.62859,48040,8066.43593842,2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1719955.64816,5183.62271194,30,1719965.42123,30031,5183.64243962,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,965729.375593,4186.91953709,46,926990.518219,46038,5355.96842771,2865,,,,,,,,,,,120,,,,,133,,,,,,,,253,727,,,,,
32,1490082.65162,5723.99148307,46,1940357.1158,46032,6086.87260863,2866,,,,,,,,,,,97,,,,,140,,,,,,,,237,816,,,,,
31,1063608.06682,5339.03474535,48,1055315.01949,48031,5187.02151583,2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1424145.23761,4938.46776253,26,1424135.39037,26011,4938.43069188,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1050992.73543,5426.9903691,27,1051005.29051,27010,5427.26215684,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
